item,itemLabel,itemDescription,twitterName,twitterID,twitterFollowers,sitelinks
http://www.wikidata.org/entity/Q55282046,Can Öncü,Turkish motorcycle racer,,,,11
http://www.wikidata.org/entity/Q55318843,Hatice Luk,,,,,1
http://www.wikidata.org/entity/Q55363771,Suat Kaya,Turkish association football player,,,,3
http://www.wikidata.org/entity/Q55364478,Q55364478,,,,,2
http://www.wikidata.org/entity/Q55380558,Q55380558,boxer,,,,1
http://www.wikidata.org/entity/Q55384174,Ebrar Karakurt,Turkish volleyball player,,,,13
http://www.wikidata.org/entity/Q55390715,Tanju Gemici,,,,,1
http://www.wikidata.org/entity/Q55392301,Ekrem Öztürk,Turkish amateur wrestler,,,,9
http://www.wikidata.org/entity/Q55392346,Asli Tugcu,,,,,2
http://www.wikidata.org/entity/Q55392371,Fatih Cengiz,Turkish amateur wrestler,,,,6
http://www.wikidata.org/entity/Q55418446,Schavarch Nartuni,Armenian writer and physician,,,,3
http://www.wikidata.org/entity/Q55464686,Nermin Tarhan,Nevzat Tarhan'ın eşi,,,,0
http://www.wikidata.org/entity/Q55569239,Yankı Erel,Turkish tennis player (2000-),,,,4
http://www.wikidata.org/entity/Q55582288,Q55582288,,,,,1
http://www.wikidata.org/entity/Q55593289,Hüseyin Avni Taç,Turkish molecular biologist,,,,0
http://www.wikidata.org/entity/Q55593388,Petros Vakaloglou,,,,,1
http://www.wikidata.org/entity/Q55627228,Arthur Beylerian,Armenian historian,,,,0
http://www.wikidata.org/entity/Q55627930,Veysel Donbaz,Türk sümerolog,,,,2
http://www.wikidata.org/entity/Q55656520,Q55656520,Soviet politician,,,,2
http://www.wikidata.org/entity/Q55673943,Robert P. Kramers,(1920-2002),,,,0
http://www.wikidata.org/entity/Q55675337,Hanns von Winter,,,,,0
http://www.wikidata.org/entity/Q55692532,Emel Şanlı,Turkish female athletics competitor,,,,1
http://www.wikidata.org/entity/Q56447842,Dorotheus of Koloneia,,,,,1
http://www.wikidata.org/entity/Q56448221,Gervasius of Alexandroupoli,,,,,2
